name,category,lat,lon
,atm,43.6109283,3.875974
,atm,43.6106195,3.8763415
CIC,bank,43.6089364,3.8798259
Café Bibal,coffee,43.609227,3.8791302
La Vita è Bella,deli,43.6149059,3.8774278
Spar,convenience,43.6092978,3.866615
Les délices du Languedoc,bakery,43.6084134,3.8694203
Le Saint-Roch,pub,43.6077462,3.8758738
,motorcycle_parking,43.6061131,3.9231797
,parking,43.7282456,4.0802485
,recycling,43.7280965,4.0799885
Café de l'univers,pub,43.7273729,4.0794483
Paroisse Saint-Joseph,place_of_worship,43.678221,3.9860136
,bicycle_parking,43.6033966,3.8720618
,bicycle_parking,43.6019607,3.8682915
FRAC,arts_centre,43.6062805,3.8694643
Theâtre Kawa,theatre,43.6026555,3.8682852
,recycling,43.6034906,3.8676781
Pharmacie du Corum,pharmacy,43.6133154,3.8796441
,toilets,43.5724055,3.9504931
,atm,43.5726114,3.9508024
,toilets,43.5720997,3.9515963
,toilets,43.5723889,3.9518719
,restaurant,43.5721485,3.9517671
,toilets,43.5708908,3.9508287
,toilets,43.5726329,3.9507287
,atm,43.5708167,3.9531556
,toilets,43.5710742,3.9533941
,toilets,43.5708976,3.9517109
Montpellier Les Arceaux,post_office,43.611137,3.8667032
,recycling,43.611766,3.8621472
Caisse d'Épargne,bank,43.6120244,3.8664084
Pharmacie des Arceaux,pharmacy,43.6122137,3.8666763
,bicycle_parking,43.5809504,3.9252491
,parking,43.6056788,3.9253541
Au Père Tranquille,restaurant,43.6221997,3.8975702
Brasserie Midi Café,restaurant,43.6224148,3.8988397
Gaïa,cafe,43.6163374,3.8802498
Pistache et Chocolat,bakery,43.6154313,3.8810109
,post_box,51.8960576,-2.0814933
3 Brasseurs,restaurant,43.6036824,3.9162494
Il Ristorante,restaurant,43.6034116,3.9162099
Bistro Régent,restaurant,43.6035917,3.9179428
Au Bureau,restaurant,43.6033649,3.9160416
Casa Inesa,restaurant,43.603226,3.9157256
Subway,fast_food,43.6035217,3.9170533
,parking_entrance,43.6065031,3.9236633
Burger King,fast_food,43.6036739,3.9182448
Pathé Comédie,cinema,43.6090714,3.8800466
,post_box,43.6004366,3.8794444
Le Fournil Saint-Nicolas,bakery,43.6080256,3.8870492
Lux Laverie,laundry,43.6128068,3.8792236
pharmacie de Montferrier,pharmacy,43.6673343,3.8587946
L'Olivia,restaurant,43.6649762,3.8630556
